sample_idx,label,audio_path,segment_id,Energy,Harmony,Pitch,Spectral,Tempo,Timbre,Vibrato
0,Ca trù,ca_tru/audio_17_017.wav,1,Rất yếu,Cao,Trầm,Cao,Vừa,Rất thấp,Ít luyến
1,Ca trù,ca_tru/audio_17_017.wav,2,Rất yếu,Cao,Trầm,Cao,Chậm,Thấp,Ít luyến
2,Ca trù,ca_tru/audio_17_090.wav,1,Vừa,Cao,Trầm,Trung bình,Vừa,Rất thấp,Vừa
3,Ca trù,ca_tru/audio_17_090.wav,2,Rất yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Vừa
4,Ca trù,ca_tru/audio_17_028.wav,1,Vừa,Thấp,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
5,Ca trù,ca_tru/audio_17_028.wav,2,Vừa,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Vừa
6,Ca trù,ca_tru/audio_13_005.wav,1,Rất yếu,Cao,Trầm,Cao,Chậm,Rất cao,Vừa
7,Ca trù,ca_tru/audio_13_005.wav,2,Rất yếu,Cao,Trầm,Cao,Vừa,Rất cao,Vừa
8,Ca trù,ca_tru/audio_33_096.wav,1,Rất yếu,Thấp,Trầm,Trung bình,Chậm,Rất thấp,Vừa
9,Ca trù,ca_tru/audio_33_096.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
10,Ca trù,ca_tru/audio_19_001.wav,1,Vừa,Thấp,Trầm,Thấp,Vừa,Rất thấp,Nhiều luyến
11,Ca trù,ca_tru/audio_19_001.wav,2,Vừa,Trung bình,Trầm,Thấp,Nhanh,Rất thấp,Vừa
12,Ca trù,ca_tru/audio_19_004.wav,1,Vừa,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Vừa
13,Ca trù,ca_tru/audio_19_004.wav,2,Vừa,Cao,Trầm,Thấp,Nhanh,Rất thấp,Nhiều luyến
14,Ca trù,ca_tru/audio_9_003.wav,1,Rất yếu,Thấp,Trung,Cao,Vừa,Rất thấp,Vừa
15,Ca trù,ca_tru/audio_9_003.wav,2,Rất yếu,Thấp,Trầm,Cao,Nhanh,Cao,Vừa
16,Ca trù,ca_tru/audio_25_002.wav,1,Vừa,Cao,Rất trầm,Thấp,Vừa,Rất thấp,Vừa
17,Ca trù,ca_tru/audio_25_002.wav,2,Vừa,Cao,Trung,Thấp,Vừa,Rất thấp,Vừa
18,Ca trù,ca_tru/audio_2_010.wav,1,Vừa,Cao,Rất trầm,Thấp,Vừa,Rất thấp,Vừa
19,Ca trù,ca_tru/audio_2_010.wav,2,Vừa,Cao,Trầm,Thấp,Vừa,Rất thấp,Nhiều luyến
20,Ca trù,ca_tru/audio_24_003.wav,1,Vừa,Thấp,Rất cao,Thấp,Chậm,Rất thấp,Vừa
21,Ca trù,ca_tru/audio_24_003.wav,2,Vừa,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Vừa
22,Ca trù,ca_tru/audio_17_005.wav,1,Rất yếu,Thấp,Rất cao,Cao,Vừa,Rất thấp,Nhiều luyến
23,Ca trù,ca_tru/audio_17_005.wav,2,Rất yếu,Thấp,Rất trầm,Thấp,Vừa,Cao,Ít luyến
24,Ca trù,ca_tru/audio_38_010.wav,1,Rất yếu,Thấp,Rất trầm,Thấp,Chậm,Rất cao,Ít luyến
25,Ca trù,ca_tru/audio_38_010.wav,2,Rất yếu,Thấp,Rất trầm,Thấp,Chậm,Rất cao,Ít luyến
26,Ca trù,ca_tru/audio_3_002.wav,1,Vừa,Thấp,Rất trầm,Thấp,Chậm,Rất thấp,Vừa
27,Ca trù,ca_tru/audio_3_002.wav,2,Yếu,Thấp,Trầm,Thấp,Vừa,Rất thấp,Vừa
28,Ca trù,ca_tru/audio_33_072.wav,1,Rất yếu,Thấp,Rất trầm,Thấp,Chậm,Rất thấp,Ít luyến
29,Ca trù,ca_tru/audio_33_072.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Vừa
30,Ca trù,ca_tru/audio_27_001.wav,1,Vừa,Trung bình,Trung,Trung bình,Vừa,Rất thấp,Vừa
31,Ca trù,ca_tru/audio_27_001.wav,2,Vừa,Cao,Trung,Trung bình,Chậm,Rất cao,Vừa
32,Ca trù,ca_tru/audio_17_035.wav,1,Vừa,Cao,Trầm,Cao,Nhanh,Rất thấp,Vừa
33,Ca trù,ca_tru/audio_17_035.wav,2,Vừa,Trung bình,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
34,Ca trù,ca_tru/audio_33_001.wav,1,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
35,Ca trù,ca_tru/audio_33_001.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Nhanh,Rất thấp,Vừa
36,Ca trù,ca_tru/audio_9_007.wav,1,Rất yếu,Thấp,Trung,Cao,Chậm,Rất thấp,Nhiều luyến
37,Ca trù,ca_tru/audio_9_007.wav,2,Rất yếu,Cao,Trầm,Cao,Vừa,Rất cao,Nhiều luyến
38,Ca trù,ca_tru/audio_1_007.wav,1,Vừa,Trung bình,Trầm,Thấp,Vừa,Cao,Vừa
39,Ca trù,ca_tru/audio_1_007.wav,2,Vừa,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Vừa
40,Ca trù,ca_tru/audio_17_098.wav,1,Rất yếu,Cao,Trầm,Trung bình,Nhanh,Rất thấp,Nhiều luyến
41,Ca trù,ca_tru/audio_17_098.wav,2,Rất yếu,Trung bình,Trầm,Cao,Chậm,Rất thấp,Nhiều luyến
42,Ca trù,ca_tru/audio_21_010.wav,1,Vừa,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Nhiều luyến
43,Ca trù,ca_tru/audio_21_010.wav,2,Vừa,Thấp,Trầm,Thấp,Vừa,Rất thấp,Vừa
44,Ca trù,ca_tru/audio_28_003.wav,1,Rất yếu,Cao,Rất trầm,Trung bình,Vừa,Rất cao,Ít luyến
45,Ca trù,ca_tru/audio_28_003.wav,2,Rất yếu,Cao,Rất trầm,Trung bình,Chậm,Rất cao,Ít luyến
46,Ca trù,ca_tru/audio_3_005.wav,1,Vừa,Thấp,Trầm,Thấp,Vừa,Rất thấp,Nhiều luyến
47,Ca trù,ca_tru/audio_3_005.wav,2,Vừa,Thấp,Trung,Thấp,Vừa,Rất thấp,Vừa
48,Ca trù,ca_tru/audio_3_004.wav,1,Yếu,Trung bình,Trầm,Thấp,Chậm,Rất thấp,Vừa
49,Ca trù,ca_tru/audio_3_004.wav,2,Vừa,Trung bình,Trầm,Thấp,Vừa,Rất thấp,Vừa
50,Ca trù,ca_tru/audio_17_022.wav,1,Vừa,Thấp,Trầm,Cao,Nhanh,Thấp,Vừa
51,Ca trù,ca_tru/audio_17_022.wav,2,Rất yếu,Thấp,Trung,Cao,Vừa,Rất thấp,Nhiều luyến
52,Ca trù,ca_tru/audio_16_011.wav,1,Rất yếu,Trung bình,Trầm,Trung bình,Chậm,Cao,Vừa
53,Ca trù,ca_tru/audio_16_011.wav,2,Rất yếu,Trung bình,Trung,Cao,Vừa,Cao,Nhiều luyến
54,Ca trù,ca_tru/audio_33_095.wav,1,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Vừa
55,Ca trù,ca_tru/audio_33_095.wav,2,Vừa,Thấp,Rất trầm,Cao,Chậm,Rất thấp,Vừa
56,Ca trù,ca_tru/audio_1_001.wav,1,Vừa,Trung bình,Trầm,Trung bình,Chậm,Thấp,Vừa
57,Ca trù,ca_tru/audio_1_001.wav,2,Vừa,Trung bình,Trầm,Trung bình,Chậm,Rất thấp,Vừa
58,Ca trù,ca_tru/audio_24_016.wav,1,Yếu,Thấp,Trầm,Thấp,Chậm,Rất thấp,Nhiều luyến
59,Ca trù,ca_tru/audio_24_016.wav,2,Yếu,Thấp,Trầm,Thấp,Nhanh,Rất thấp,Nhiều luyến
60,Ca trù,ca_tru/audio_17_013.wav,1,Vừa,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Vừa
61,Ca trù,ca_tru/audio_17_013.wav,2,Rất yếu,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
62,Ca trù,ca_tru/audio_36_015.wav,1,Rất yếu,Trung bình,Trầm,Cao,Chậm,Thấp,Nhiều luyến
63,Ca trù,ca_tru/audio_36_015.wav,2,Rất yếu,Thấp,Trầm,Cao,Nhanh,Thấp,Nhiều luyến
64,Ca trù,ca_tru/audio_6_004.wav,1,Rất yếu,Thấp,Trầm,Cao,Vừa,Rất thấp,Vừa
65,Ca trù,ca_tru/audio_6_004.wav,2,Vừa,Cao,Trầm,Cao,Chậm,Rất thấp,Nhiều luyến
66,Ca trù,ca_tru/audio_32_006.wav,1,Rất yếu,Thấp,Rất trầm,Cao,Chậm,Rất thấp,Ít luyến
67,Ca trù,ca_tru/audio_32_006.wav,2,Rất yếu,Thấp,Trầm,Cao,Nhanh,Rất thấp,Vừa
68,Ca trù,ca_tru/audio_10_003.wav,1,Vừa,Thấp,Rất trầm,Trung bình,Vừa,Rất thấp,Vừa
69,Ca trù,ca_tru/audio_10_003.wav,2,Vừa,Thấp,Trầm,Trung bình,Vừa,Rất thấp,Vừa
70,Ca trù,ca_tru/audio_35_001.wav,1,Vừa,Trung bình,Trầm,Trung bình,Chậm,Rất thấp,Vừa
71,Ca trù,ca_tru/audio_35_001.wav,2,Vừa,Cao,Trầm,Thấp,Vừa,Rất thấp,Ít luyến
72,Ca trù,ca_tru/audio_5_002.wav,1,Vừa,Cao,Trầm,Trung bình,Vừa,Cao,Ít luyến
73,Ca trù,ca_tru/audio_5_002.wav,2,Yếu,Cao,Trầm,Cao,Vừa,Trung bình,Vừa
74,Ca trù,ca_tru/audio_11_006.wav,1,Rất yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Nhiều luyến
75,Ca trù,ca_tru/audio_11_006.wav,2,Rất yếu,Cao,Trầm,Trung bình,Vừa,Rất thấp,Vừa
76,Ca trù,ca_tru/audio_33_079.wav,1,Rất yếu,Thấp,Trầm,Thấp,Vừa,Rất thấp,Nhiều luyến
77,Ca trù,ca_tru/audio_33_079.wav,2,Vừa,Thấp,Trầm,Thấp,Vừa,Rất thấp,Vừa
78,Ca trù,ca_tru/audio_7_003.wav,1,Vừa,Thấp,Trung,Thấp,Vừa,Rất thấp,Nhiều luyến
79,Ca trù,ca_tru/audio_7_003.wav,2,Vừa,Trung bình,Trầm,Thấp,Chậm,Rất thấp,Nhiều luyến
