sample_idx,label,Energy_Rất_yếu,Energy_Yếu,Energy_Vừa,Energy_Mạnh,Energy_Rất_mạnh,Harmony_Thấp,Harmony_Trung_bình,Harmony_Cao,Pitch_Rất_trầm,Pitch_Trầm,Pitch_Trung,Pitch_Cao,Pitch_Rất_cao,Spectral_Thấp,Spectral_Trung_bình,Spectral_Cao,Tempo_Chậm,Tempo_Vừa,Tempo_Nhanh,Timbre_Rất_thấp,Timbre_Thấp,Timbre_Trung_bình,Timbre_Cao,Timbre_Rất_cao,Vibrato_Ít_luyến,Vibrato_Vừa,Vibrato_Nhiều_luyến
0,Cải lương,0.9406,0.0452,0.0092,0.0034,0.0017,0.3317,0.3361,0.3322,0.9857,0.0103,0.0032,0.0006,0.0002,0.8442,0.114,0.0418,0.0156,0.0797,0.9047,0.1951,0.1951,0.1952,0.2054,0.2093,0.5795,0.3892,0.0313
1,Cải lương,0.4054,0.516,0.0539,0.0171,0.0077,0.3302,0.3381,0.3317,0.8718,0.1001,0.0232,0.0037,0.0012,0.8692,0.0946,0.0362,0.9898,0.008,0.0021,0.2145,0.2145,0.2145,0.197,0.1596,0.4638,0.502,0.0342
2,Cải lương,0.3186,0.6071,0.0522,0.0152,0.0069,0.3338,0.3329,0.3333,0.0824,0.6934,0.2088,0.0123,0.0031,0.0241,0.9386,0.0373,0.917,0.07,0.0131,0.1884,0.1884,0.1888,0.2193,0.215,0.0705,0.7722,0.1573
3,Cải lương,0.2683,0.6031,0.0926,0.0245,0.0115,0.3327,0.3343,0.333,0.2401,0.567,0.1677,0.0199,0.0053,0.7519,0.1714,0.0767,0.0156,0.0797,0.9047,0.1747,0.1747,0.1751,0.2188,0.2568,0.084,0.8973,0.0187
4,Cải lương,0.4096,0.5164,0.0511,0.0157,0.0072,0.3338,0.3329,0.3333,0.0518,0.8079,0.1316,0.0068,0.0019,0.0391,0.2865,0.6744,0.9898,0.008,0.0021,0.1568,0.1568,0.1573,0.2239,0.3052,0.0356,0.1453,0.8191
5,Cải lương,0.0436,0.925,0.0232,0.0058,0.0024,0.3334,0.3323,0.3342,0.1685,0.7634,0.0602,0.0061,0.0018,0.0128,0.072,0.9152,0.0545,0.1352,0.8103,0.2472,0.2472,0.2465,0.1596,0.0995,0.9999,0.0001,0.0
6,Cải lương,0.8944,0.0725,0.0206,0.0082,0.0043,0.3325,0.3347,0.3328,0.615,0.3018,0.0695,0.0105,0.0032,0.1193,0.7539,0.1268,0.6609,0.2987,0.0403,0.1539,0.1539,0.1544,0.2224,0.3155,0.5857,0.3832,0.0311
7,Cải lương,0.9585,0.0281,0.0082,0.0035,0.0018,0.3332,0.3331,0.3337,0.0215,0.0269,0.0335,0.0815,0.8367,0.0191,0.0659,0.915,0.9965,0.0028,0.0006,0.163,0.1631,0.1635,0.2184,0.292,0.0135,0.0478,0.9387
8,Cải lương,0.0445,0.7843,0.1454,0.0188,0.0071,0.3311,0.3379,0.3309,0.0435,0.818,0.1307,0.0062,0.0016,0.0126,0.065,0.9224,0.9965,0.0028,0.0006,0.1607,0.1608,0.1615,0.2419,0.2751,0.0033,0.9947,0.0021
9,Cải lương,0.856,0.1013,0.0261,0.0111,0.0055,0.3333,0.3336,0.3331,0.9974,0.0019,0.0006,0.0001,0.0,0.9399,0.049,0.0111,0.9965,0.0028,0.0006,0.1999,0.1999,0.2003,0.2186,0.1813,0.7754,0.2034,0.0212
