sample_idx,label,Energy,Harmony,Pitch,Spectral,Tempo,Timbre,Vibrato
0,Cải lương,Rất yếu,Trung bình,Rất trầm,Thấp,Nhanh,Rất cao,Ít luyến
1,Cải lương,Yếu,Trung bình,Rất trầm,Thấp,Chậm,Trung bình,Vừa
2,Cải lương,Yếu,Thấp,Trầm,Trung bình,Chậm,Cao,Vừa
3,Cải lương,Yếu,Trung bình,Trầm,Thấp,Nhanh,Rất cao,Vừa
4,Cải lương,Yếu,Thấp,Trầm,Cao,Chậm,Rất cao,Nhiều luyến
5,Cải lương,Yếu,Cao,Trầm,Cao,Nhanh,Rất thấp,Ít luyến
6,Cải lương,Rất yếu,Trung bình,Rất trầm,Trung bình,Chậm,Rất cao,Ít luyến
7,Cải lương,Rất yếu,Cao,Rất cao,Cao,Chậm,Rất cao,Nhiều luyến
8,Cải lương,Yếu,Trung bình,Trầm,Cao,Chậm,Rất cao,Vừa
9,Cải lương,Rất yếu,Trung bình,Rất trầm,Thấp,Chậm,Cao,Ít luyến
10,Cải lương,Rất yếu,Trung bình,Trung,Trung bình,Vừa,Rất cao,Vừa
11,Cải lương,Rất yếu,Trung bình,Trầm,Cao,Vừa,Rất thấp,Nhiều luyến
12,Cải lương,Rất yếu,Trung bình,Trung,Trung bình,Vừa,Rất cao,Ít luyến
13,Cải lương,Rất yếu,Trung bình,Trung,Cao,Nhanh,Rất cao,Nhiều luyến
14,Cải lương,Yếu,Trung bình,Trầm,Thấp,Chậm,Rất thấp,Ít luyến
15,Cải lương,Yếu,Cao,Trầm,Thấp,Vừa,Rất cao,Ít luyến
16,Cải lương,Mạnh,Trung bình,Trầm,Cao,Nhanh,Cao,Vừa
17,Cải lương,Yếu,Cao,Rất trầm,Cao,Vừa,Trung bình,Ít luyến
18,Cải lương,Yếu,Cao,Cao,Trung bình,Nhanh,Rất cao,Nhiều luyến
19,Cải lương,Rất yếu,Trung bình,Cao,Trung bình,Chậm,Rất cao,Vừa
20,Cải lương,Rất yếu,Trung bình,Trầm,Trung bình,Chậm,Trung bình,Vừa
21,Cải lương,Rất mạnh,Trung bình,Rất trầm,Thấp,Vừa,Cao,Vừa
22,Cải lương,Rất yếu,Cao,Trầm,Thấp,Vừa,Rất thấp,Vừa
23,Cải lương,Vừa,Trung bình,Rất trầm,Thấp,Chậm,Cao,Ít luyến
24,Cải lương,Yếu,Trung bình,Rất trầm,Thấp,Vừa,Trung bình,Vừa
25,Cải lương,Yếu,Trung bình,Trầm,Thấp,Vừa,Rất cao,Vừa
26,Cải lương,Yếu,Trung bình,Rất trầm,Trung bình,Nhanh,Rất cao,Ít luyến
27,Cải lương,Yếu,Cao,Rất trầm,Thấp,Chậm,Trung bình,Vừa
28,Cải lương,Vừa,Trung bình,Trung,Cao,Vừa,Rất cao,Nhiều luyến
29,Cải lương,Rất yếu,Trung bình,Rất trầm,Thấp,Vừa,Rất cao,Ít luyến
30,Cải lương,Yếu,Thấp,Trung,Cao,Vừa,Rất cao,Nhiều luyến
31,Cải lương,Rất yếu,Cao,Trầm,Cao,Vừa,Rất cao,Ít luyến
32,Cải lương,Yếu,Trung bình,Trầm,Cao,Vừa,Rất cao,Ít luyến
