Mô hình,Luật (IF Điều kiện),Dự đoán (THEN),Độ tin cậy,Độ hỗ trợ,Tần suất cây
Random Forest Crisp,"Energy == 'Rất yếu' AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre IN ['Rất thấp', 'Thấp'] AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,75.0%,260,3/50
Random Forest Crisp,"Energy == 'Rất yếu' AND Vibrato == 'Ít luyến' AND Timbre IN ['Rất thấp', 'Thấp'] AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,55.1%,107,5/50
Random Forest Crisp,"Pitch IN ['Rất trầm', 'Trầm'] AND Energy == 'Rất yếu' AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,70.2%,149,2/50
Random Forest Crisp,"Energy == 'Rất yếu' AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre IN ['Rất thấp', 'Thấp', 'Trung bình', 'Cao'] AND Spectral IN ['Trung bình', 'Cao']",Ca trù,58.9%,286,2/50
Random Forest Crisp,"Pitch IN ['Rất trầm', 'Trầm'] AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre == 'Rất thấp' AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,49.8%,424,2/50
Random Forest Crisp,"Pitch IN ['Rất trầm', 'Trầm'] AND Energy IN ['Rất yếu', 'Yếu', 'Vừa'] AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre IN ['Rất thấp', 'Thấp'] AND Spectral IN ['Trung bình', 'Cao']",Ca trù,48.0%,397,2/50
Random Forest Crisp,"Pitch IN ['Rất trầm', 'Trầm'] AND Energy IN ['Yếu', 'Vừa'] AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,48.9%,279,2/50
Random Forest Crisp,"Energy IN ['Yếu', 'Vừa'] AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre IN ['Rất thấp', 'Thấp'] AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,44.4%,311,2/50
Random Forest Crisp,"Pitch IN ['Rất trầm', 'Trầm'] AND Energy == 'Rất yếu' AND Timbre IN ['Rất thấp', 'Thấp'] AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,80.7%,80,1/50
Random Forest Crisp,"Pitch IN ['Rất trầm', 'Trầm'] AND Energy IN ['Rất yếu', 'Yếu', 'Vừa'] AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre IN ['Rất thấp', 'Thấp'] AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,67.8%,170,1/50
Random Forest Crisp,"Energy == 'Rất yếu' AND Vibrato == 'Vừa' AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,73.9%,79,1/50
Random Forest Crisp,"Pitch IN ['Rất trầm', 'Trầm'] AND Energy IN ['Rất yếu', 'Yếu', 'Vừa'] AND Timbre IN ['Rất thấp', 'Thấp'] AND Harmony IN ['Thấp', 'Trung bình'] AND Spectral == 'Thấp'",Ca trù,80.7%,53,1/50
Random Forest Crisp,"Energy == 'Rất yếu' AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre IN ['Rất thấp', 'Thấp', 'Trung bình'] AND Harmony IN ['Thấp', 'Trung bình']",Ca trù,70.3%,96,1/50
Random Forest Crisp,"Tempo IN ['Chậm', 'Vừa'] AND Pitch == 'Trầm' AND Energy IN ['Rất yếu', 'Yếu', 'Vừa'] AND Timbre IN ['Rất thấp', 'Thấp']",Ca trù,59.9%,211,1/50
