Tập dữ liệu,Thể loại,Xếp hạng,Acc,Số mẫu (Support),Tần suất cây,Điều kiện luật (IF)
Crisp (7 trục chữ),Ca trù,Top 1,55.0%,85,2/50,"Tempo IN ['Vừa', 'Nhanh'] AND Energy IN ['Rất yếu', 'Yếu', 'Vừa'] AND Timbre IN ['Rất thấp', 'Thấp', 'Trung bình'] AND Harmony IN ['Thấp', 'Trung bình'] AND Spectral == 'Thấp'"
Crisp (7 trục chữ),Ca trù,Top 2,71.0%,45,1/50,"Tempo IN ['Chậm', 'Vừa'] AND Pitch IN ['Trầm', 'Trung', 'Cao', 'Rất cao'] AND Energy IN ['Rất yếu', 'Yếu', 'Vừa'] AND Timbre IN ['Rất thấp', 'Thấp', 'Trung bình', 'Cao'] AND Harmony == 'Thấp'"
Crisp (7 trục chữ),Ca trù,Top 3,61.0%,83,1/50,"Pitch IN ['Rất trầm', 'Trầm'] AND Energy IN ['Rất yếu', 'Yếu', 'Vừa', 'Mạnh'] AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre IN ['Rất thấp', 'Thấp'] AND Spectral IN ['Thấp', 'Trung bình']"
Crisp (7 trục chữ),Ca trù,Top 4,57.2%,102,1/50,"Tempo IN ['Chậm', 'Vừa'] AND Pitch == 'Trầm' AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre IN ['Rất thấp', 'Thấp']"
Crisp (7 trục chữ),Ca trù,Top 5,53.0%,144,1/50,"Pitch == 'Trầm' AND Energy IN ['Rất yếu', 'Yếu', 'Vừa'] AND Timbre IN ['Rất thấp', 'Thấp', 'Trung bình'] AND Harmony IN ['Thấp', 'Trung bình']"
Crisp (7 trục chữ),Chèo,Top 1,96.4%,19,1/50,"Pitch IN ['Trung', 'Cao', 'Rất cao'] AND Energy == 'Rất yếu' AND Timbre IN ['Rất thấp', 'Thấp', 'Trung bình'] AND Harmony IN ['Trung bình', 'Cao']"
Crisp (7 trục chữ),Chèo,Top 2,67.0%,71,1/50,"Pitch IN ['Trung', 'Cao', 'Rất cao'] AND Energy IN ['Rất yếu', 'Yếu', 'Vừa', 'Mạnh'] AND Timbre IN ['Rất thấp', 'Thấp'] AND Harmony IN ['Trung bình', 'Cao'] AND Spectral IN ['Trung bình', 'Cao']"
Crisp (7 trục chữ),Chèo,Top 3,67.6%,60,1/50,"Pitch IN ['Trung', 'Cao', 'Rất cao'] AND Energy IN ['Rất yếu', 'Yếu', 'Vừa', 'Mạnh'] AND Vibrato IN ['Vừa', 'Nhiều luyến'] AND Timbre IN ['Rất thấp', 'Thấp'] AND Spectral IN ['Thấp', 'Trung bình']"
Crisp (7 trục chữ),Chèo,Top 4,70.8%,49,1/50,"Pitch IN ['Trung', 'Cao', 'Rất cao'] AND Energy IN ['Rất yếu', 'Yếu'] AND Timbre IN ['Rất thấp', 'Thấp', 'Trung bình'] AND Spectral IN ['Thấp', 'Trung bình']"
Crisp (7 trục chữ),Chèo,Top 5,66.7%,60,1/50,"Pitch IN ['Trung', 'Cao', 'Rất cao'] AND Energy IN ['Rất yếu', 'Yếu', 'Vừa'] AND Timbre IN ['Rất thấp', 'Thấp', 'Trung bình'] AND Spectral IN ['Thấp', 'Trung bình']"
